vin,year,make,model,trim,price,miles,cpo,dealer,city,state,zip,listing_url
5UX53GP08T9223607,2026,BMW,X3,30 xDrive,46860,6226,True,BMW of San Diego,San Diego,CA,92111,https://www.autolist.com/bmw-x3#vin=5UX53GP08T9223607
5UX53GP02T9223957,2026,BMW,X3,30 xDrive,45073,5120,True,BMW of San Diego,San Diego,CA,92111,https://www.autolist.com/bmw-x3#vin=5UX53GP02T9223957
5UX73GP05S9042617,2025,BMW,X3,M50 xDrive,59973,4838,True,Crevier BMW,Santa Ana,CA,92705,https://www.autolist.com/bmw-x3#vin=5UX73GP05S9042617
WBX57DP07PN246901,2023,BMW,X3,xDrive30i,33996,43948,True,Rusnak BMW,Westlake Village,CA,91362,https://www.autolist.com/bmw-x3#vin=WBX57DP07PN246901
WBX57DP08PN215592,2023,BMW,X3,xDrive30i,32996,30440,True,Rusnak BMW,Westlake Village,CA,91362,https://www.autolist.com/bmw-x3#vin=WBX57DP08PN215592
5UX53GP00T9230194,2026,BMW,X3,30 xDrive,44977,8117,True,Valencia BMW,Valencia,CA,91355,https://www.carfax.com/vehicle/5UX53GP00T9230194
5UX43DP02R9U11705,2024,BMW,X3,sDrive30i,36411,29614,True,bob smith mini,Calabasas,CA,91302,https://bobsmithmini.com/inventory/Used-2024-BMW-X3-sDrive30i-5UX43DP02R9U11705
5UX43DP02R9W16540,2024,BMW,X3,sDrive30i Sports Activity Vehicle,37911,22566,True,bob smith mini,Calabasas,CA,91302,https://bobsmithmini.com/inventory/Used-2024-BMW-X3-sDrive30i_Sports_Activity_Vehicle-5UX43DP02R9W16540
5UX43DP03R9U37987,2024,BMW,X3,sDrive30i,35411,24879,True,bob smith mini,Calabasas,CA,91302,https://bobsmithmini.com/inventory/Used-2024-BMW-X3-sDrive30i-5UX43DP03R9U37987
5UX53DP09P9S45913,2023,BMW,X3,xDrive30i Sports Activity Vehicle,36911,16733,True,bob smith mini,Calabasas,CA,91302,https://bobsmithmini.com/inventory/Used-2023-BMW-X3-xDrive30i_Sports_Activity_Vehicle-5UX53DP09P9S45913
5UX83DP01R9T92372,2024,BMW,X3,M40i Sports Activity Vehicle,54911,19732,True,bob smith mini,Calabasas,CA,91302,https://bobsmithmini.com/inventory/Used-2024-BMW-X3-M40i_Sports_Activity_Vehicle-5UX83DP01R9T92372
WBX47DP05RN276011,2024,BMW,X3,sDrive30i Sports Activity Vehicle South Africa,39411,17664,True,bob smith mini,Calabasas,CA,91302,https://bobsmithmini.com/inventory/Used-2024-BMW-X3-sDrive30i_Sports_Activity_Vehicle_South_Africa-WBX47DP05RN276011
5UX43DP00R9W49813,2024,BMW,X3,sDrive30i,37080,28009,True,BMW of Sherman Oaks,Van Nuys,CA,,https://www.lithia.com/catcher.esl?vin=5UX43DP00R9W49813&utm_source=autolist&utm_medium=referral&utm_campaign=vdp_deep_link
5UX43DP06R9T52044,2024,BMW,X3,sDrive30i,36496,26750,True,Rusnak BMW,Thousand Oaks,CA,,https://www.autolist.com/bmw-x3#vin=5UX43DP06R9T52044
